"datetime";"shop";"card";"bonus_earned";"bonus_spent";"summ";"summ_with_disc";"doc_id"
2021-07-13 12:56:09.000;Аптека 2;"2000200195023";51;0;3400;3400;"15#2002741#65938#2_29"
2021-07-30 10:42:00.000;Аптека 2;"2000200193494";57;0;747;747;"15#2002972#65955#2_5"
2021-10-11 12:55:23.000;Аптека 2;"2000200199106";92;253;3077;3077;"15#2004060#66028#2_29"
2021-10-14 14:48:56.000;Аптека 2;"2000200168768";1;0;54;54;"15#2004107#66031#2_57"
2021-10-20 11:09:39.000;Аптека 2;"2000200226314";101;0;1733;1733;"15#2004192#66037#2_16"
2021-10-29 13:55:20.000;Аптека 2;"2000200192060";8;0;285;285;"15#2004318#66046#2_40"
2021-11-12 14:10:11.000;Аптека 2;"2000200193241";17;0;588;588;"15#2004481#66060#2_35"
2021-11-15 12:21:15.000;Аптека 2;"2000200183938";33;0;825;825;"15#2004513#66063#2_24"
2021-11-30 18:01:09.000;Аптека 2;"2000200165811";26;0;886;886;"15#2004712#66078#2_63"
2021-12-03 15:51:20.000;Аптека 2;"2000200186984";6;0;172;172;"15#2004764#66081#2_78"
2022-01-12 10:58:59.000;Аптека 2;"2000200187189";12;0;427;427;"15#2000125#66121#2_7"
2022-01-28 10:44:36.000;Аптека 2;"2000200209331";23;31;491;491;"15#2000424#66137#2_9"
2022-01-29 16:06:39.000;Аптека 2;"2000200176015";41;0;1379;1379;"15#2000447#66138#2_83"
2022-01-31 10:58:23.000;Аптека 2;"2000200166214";247;7;9097;9097;"15#2000468#66140#2_7"
2022-02-01 10:28:09.000;Аптека 2;"2000200231912";60;0;380;380;"15#2000492#66141#2_3"
2022-03-02 10:04:46.000;Аптека 2;"2000200191766";55;0;1864;1864;"15#2001150#66170#2_1"
2022-03-21 17:46:01.000;Аптека 2;"2000200214083";11;0;368;368;"15#2001757#66189#2_79"
2022-04-27 16:09:49.000;Аптека 2;"2000200242666";7;0;390;390;"15#2002726#66226#2_60"
2022-05-05 18:44:35.000;Аптека 11;"2000200176091";1;34;205;205;"15#18001267#66234#18_79"
2022-05-09 14:27:08.000;Аптека 1;"2000200209706";60;0;365;365;"15#13001672#66238#13_36"
2022-06-05 14:21:01.000;Аптека 1;"2000200210931";12;0;425;425;"15#13001971#66265#13_45"
2021-07-12 08:09:44.000;Аптека 1;de445db4-2fe3-4870-ac71-25f11b5174b9;14;79;523;523;"15#13002262#65937#13_1"
2021-07-12 08:26:45.000;Аптека 1;"70eccdfc-79dc-400c-8eed-1b864fe7170d";14;0;567;567;"15#13002262#65937#13_5"
2021-07-12 09:12:43.000;Аптека 10;"2000200189480";1;37;156;156;"15#17001976#65937#17_3"
2021-07-12 09:21:20.000;Аптека 8;"2000200198352";44;83;1702;1663;"15#15001706#65937#15_1"
2021-07-12 09:28:19.000;Аптека 10;"2000200188667";30;0;1152;1041;"15#17001976#65937#17_5"
2021-07-12 09:44:35.000;Аптека 7;"8323fcfb-6425-49e6-a86e-906c0609ce08";8;0;859;859;"15#11006888#65937#11_11"
2021-07-12 09:56:45.000;Аптека 10;"2000200189671";6;0;426;426;"15#17001976#65937#17_11"
2021-07-12 10:04:07.000;Аптека 4;"2000200163886";1;10;110;110;"15#7001776#65937#7_16"
2021-07-12 10:20:12.000;Аптека 2;"2000200206668";54;0;322;322;"15#2002725#65937#2_2"
2021-07-12 10:23:06.000;Аптека 7;"1629a910-ca86-45be-98c7-cb9822f838a2";5;17;190;190;"15#11006888#65937#11_24"
2021-07-12 10:28:42.000;Аптека 4;cffa9b33-cd47-42e6-942a-83a561d8b74f;14;0;775;775;"15#7001776#65937#7_22"
2021-07-12 10:43:02.000;Аптека 2;"9198bc20-d048-4b59-a64b-ebe550ba9b45";7;0;264;264;"15#2002725#65937#2_5"
2021-07-12 10:46:11.000;Аптека 2;"7ac92f61-db45-49e6-a6e3-1fe4059e3426";89;0;3187;3187;"15#2002724#65937#2_19"
2021-07-12 10:54:32.000;Аптека 8;"47f166bc-f785-4e02-a287-c45fadb8ded7";53;0;1982;1932;"15#15001706#65937#15_11"
2021-07-12 11:01:31.000;Аптека 2;"2000200197683";11;28;225;225;"15#2002725#65937#2_8"
2021-07-12 11:02:03.000;Аптека 8;"65ddd627-b844-4a06-9976-db189d5aa573";3;0;133;133;"15#15001706#65937#15_13"
2021-07-12 11:04:26.000;Аптека 2;"2000200175933";6;0;206;206;"15#2002724#65937#2_21"
2021-07-12 11:08:21.000;Аптека 4;d0017e14-d6f0-4b42-9851-1e3f0d80788b;24;0;814;814;"15#7001776#65937#7_30"
2021-07-12 11:13:53.000;Аптека 7;"130f79db-e12e-4032-adf0-6bccf2827280";29;0;1151;1151;"15#11006888#65937#11_39"
2021-07-12 11:14:40.000;Аптека 1;"9fb03730-7998-4ccc-b821-cbd2eeffe4f4";29;93;3897;3897;"15#13002262#65937#13_32"
2021-07-12 11:26:39.000;Аптека 1;"13dae46b-91c2-48cc-9306-c5dc99fe534b";16;0;442;442;"15#13002279#65937#13_5"
2021-07-12 11:35:00.000;Аптека 7;c3e8b0a7-c46f-4874-b3ca-a942689500b4;2;0;224;224;"15#11006888#65937#11_51"
2021-07-12 11:40:43.000;Аптека 7;"2000200173304";115;0;2172;2172;"15#11006888#65937#11_53"
2021-07-12 11:41:57.000;Аптека 7;a89a7dec-f6f2-4fd3-b1c0-505e667c5dd9;9;3;303;303;"15#11006888#65937#11_54"
2021-07-12 11:45:52.000;Аптека 8;ea8e02a2-0038-4de8-af34-9951a5668a52;2;8;266;266;"15#15001706#65937#15_18"
2021-07-12 11:54:16.000;Аптека 1;"6d63db03-df9a-4bb3-89b8-6fc68aeda752";54;0;160;160;"15#13002279#65937#13_11"
2021-07-12 12:08:18.000;Аптека 8;"732a43bd-626f-416a-9c43-bc8ead8fa7ec";28;223;1200;1200;"15#15001706#65937#15_21"
2021-07-12 12:10:45.000;Аптека 4;b9ac53e7-93dc-4fc0-979d-4941101eeed7;7;6;756;756;"15#7001776#65937#7_42"
2021-07-12 12:19:39.000;Аптека 7;"2000200161783";23;0;792;792;"15#11006888#65937#11_67"
2021-07-12 12:22:54.000;Аптека 2;"2000200156437";18;0;668;609;"15#2002724#65937#2_30"
2021-07-12 12:40:59.000;Аптека 2;"2000200171799";45;0;1523;1523;"15#2002724#65937#2_32"
2021-07-12 12:43:23.000;Аптека 4;a7980c7a-6f48-437a-986d-425c48a52fbf;7;0;350;350;"15#7001776#65937#7_48"
2021-07-12 13:01:48.000;Аптека 8;"2000200204091";52;0;229;229;"15#15001706#65937#15_29"
2021-07-12 13:06:08.000;Аптека 4;"2000200164180";11;0;378;378;"15#7001776#65937#7_51"
2021-07-12 13:15:51.000;Аптека 1;"3d4adad3-50e4-4e51-86ba-ecec2274b4b2";17;0;975;975;"15#13002262#65937#13_43"
2021-07-12 13:16:05.000;Аптека 2;"7f48184c-2986-4a9c-bbab-0279d5236b8d";1;0;153;153;"15#2002724#65937#2_38"
2021-07-12 13:22:51.000;Аптека 4;"2000200179306";18;70;597;597;"15#7001776#65937#7_55"
2021-07-12 13:29:16.000;Аптека 2;"20dafe03-4743-4f45-a7ad-a1c9c68245e4";39;0;3098;3098;"15#2002724#65937#2_40"
2021-07-12 13:38:02.000;Аптека 2;a5cbd9cc-ee58-4244-9d9f-f1da1c2692b2;1;0;167;167;"15#2002725#65937#2_23"
2021-07-12 13:49:11.000;Аптека 10;"2000200170273";18;0;936;936;"15#17001976#65937#17_27"
2021-07-12 13:54:54.000;Аптека 1;b34ba1b7-a275-43cd-93d5-5aae051259e5;15;0;635;635;"15#13002279#65937#13_26"
2021-07-12 14:08:19.000;Аптека 2;"2000200186953";2;69;88;88;"15#2002724#65937#2_41"
2021-07-12 14:21:29.000;Аптека 8;e2c9b02e-79bd-401a-aef2-351ef17cd3f7;38;26;1291;1291;"15#15001706#65937#15_37"
2021-07-12 14:25:06.000;Аптека 10;"2000200188865";35;73;1192;1192;"15#17001976#65937#17_31"
2021-07-12 14:27:48.000;Аптека 10;"2000200189169";30;0;612;612;"15#17001976#65937#17_32"
2021-07-12 14:30:54.000;Аптека 2;ef19df5f-3144-41c6-b1bc-ecc412597026;28;0;709;709;"15#2002724#65937#2_44"
2021-07-12 14:37:21.000;Аптека 2;"2000200206651";68;0;1187;1187;"15#2002725#65937#2_30"
2021-07-12 14:49:00.000;Аптека 4;"4b73eaca-2839-449e-b0aa-f7a3c742184e";1;16;66;66;"15#7001776#65937#7_66"
2021-07-12 14:57:01.000;Аптека 4;a7e17225-e06e-4a2e-9f10-2f3ef72ee595;0;40;56;56;"15#7001776#65937#7_68"
2021-07-12 15:02:50.000;Аптека 10;"2000200193845";88;0;1373;1280;"15#17001976#65937#17_37"
2021-07-12 15:07:38.000;Аптека 2;ade61f2a-f6c6-42dd-a122-ddd29dbf3a30;27;0;904;904;"15#2002725#65937#2_33"
2021-07-12 15:16:47.000;Аптека 7;a4e258fa-2517-4ab3-a9b0-8ff475276085;1;0;78;78;"15#11006888#65937#11_110"
2021-07-12 15:24:55.000;Аптека 2;"9f4f44a7-ff30-4da5-aa5e-9430ad0e2848";9;16;316;316;"15#2002724#65937#2_52"
2021-07-12 15:25:21.000;Аптека 1;"25c2c06d-f0d8-45dd-b27e-8172522cc3f4";10;0;1098;1098;"15#13002262#65937#13_57"
2021-07-12 15:30:52.000;Аптека 2;"2000200206378";176;0;2530;2530;"15#2002724#65937#2_53"
2021-07-12 16:06:25.000;Аптека 8;"2000200167495";24;0;812;812;"15#15001706#65937#15_54"
2021-07-12 16:22:37.000;Аптека 10;"2000200205326";37;0;1193;1193;"15#17001976#65937#17_45"
2021-07-12 16:32:33.000;Аптека 7;"0a1ca713-0157-46c7-be0d-01d3cbbda916";1;0;179;179;"15#11006888#65937#11_126"
2021-07-12 16:42:14.000;Аптека 7;a4e95cdc-ff88-4cfd-be29-d3d81d54741c;2;0;75;75;"15#11006888#65937#11_131"
2021-07-12 16:53:01.000;Аптека 6;a1d25581-0300-4a0a-b6ba-cd638d38950e;17;0;998;998;"15#10002364#65937#10_20"
2021-07-12 16:56:59.000;Аптека 1;"520b10c2-3ed5-4126-b68d-3bcc2ec9a4fd";21;0;502;502;"15#13002279#65937#13_38"
2021-07-12 17:06:38.000;Аптека 2;"2000200202363";14;0;476;476;"15#2002725#65937#2_43"
2021-07-12 17:31:23.000;Аптека 2;"2000200198086";4;38;438;438;"15#2002725#65937#2_46"
2021-07-12 17:33:16.000;Аптека 2;"470b9054-1c5c-427e-8b57-22830c1ebf98";1;0;177;177;"15#2002724#65937#2_66"
2021-07-12 17:42:12.000;Аптека 8;"2000200178491";0;15;53;53;"15#15001706#65937#15_71"
2021-07-12 17:45:46.000;Аптека 2;"47b6d77b-312c-49ca-b52b-69bd9960f7df";45;0;3013;3013;"15#2002724#65937#2_69"
2021-07-12 17:50:57.000;Аптека 2;"9fb03730-7998-4ccc-b821-cbd2eeffe4f4";11;0;396;396;"15#2002725#65937#2_51"
2021-07-12 17:57:49.000;Аптека 4;ca6c333a-bdce-49d3-b7b9-b020c6aab0a7;1;0;39;39;"15#7001776#65937#7_96"
2021-07-12 18:00:15.000;Аптека 1;ae2a5b05-5dc7-4e74-9a7b-39898fddd57a;25;0;609;609;"15#13002262#65937#13_66"
2021-07-12 18:15:06.000;Аптека 2;"2000200179900";26;0;882;882;"15#2002724#65937#2_73"
2021-07-12 18:27:04.000;Аптека 10;"2000200170570";12;0;430;430;"15#17001976#65937#17_62"
2021-07-12 18:30:55.000;Аптека 10;"2000200186168";15;47;314;314;"15#17001976#65937#17_64"
2021-07-12 18:38:17.000;Аптека 2;f099f397-786e-402f-bb84-1903240e8799;12;0;406;406;"15#2002724#65937#2_75"
2021-07-12 18:38:27.000;Аптека 7;bd22b787-487b-49e9-a6e3-429fae881d13;50;0;1568;1568;"15#11006888#65937#11_160"
2021-07-12 18:46:15.000;Аптека 2;"2000200156512";13;0;450;450;"15#2002724#65937#2_78"
2021-07-12 18:49:04.000;Аптека 2;"209a469d-c287-4b53-9947-34adb25dd448";1;4;112;112;"15#2002724#65937#2_79"
2021-07-12 18:59:30.000;Аптека 4;"0f294e45-77d8-44cd-9ef4-0d09b59bc4b5";1;12;116;116;"15#7001776#65937#7_113"
2021-07-12 19:13:25.000;Аптека 4;"2000200152514";1;0;43;43;"15#7001776#65937#7_117"
2021-07-12 19:18:37.000;Аптека 7;"39655753-6d65-47c7-8cbc-8ad4de86c3ac";4;217;380;380;"15#11006888#65937#11_170"
2021-07-12 19:22:09.000;Аптека 2;"2000200165842";52;0;2629;2629;"15#2002724#65937#2_86"
2021-07-12 19:27:14.000;Аптека 7;"2000200186540";2;0;94;94;"15#11006888#65937#11_172"
2021-07-12 19:27:22.000;Аптека 1;"7c13d02d-3555-4022-b2d9-aef06bbb284d";22;0;1025;1025;"15#13002262#65937#13_79"
2021-07-12 19:28:51.000;Аптека 2;"62f9d33b-01ea-40e7-8054-c3bcfb05c548";3;0;316;316;"15#2002724#65937#2_89"
2021-07-12 19:30:11.000;Аптека 1;"182b2505-c540-4259-9e74-6e6740f1d636";38;0;768;768;"15#13002262#65937#13_80"
2021-07-12 19:34:09.000;Аптека 4;"2000200179283";79;0;973;973;"15#7001776#65937#7_119"
2021-07-12 19:35:56.000;Аптека 4;"2000200179283";12;79;266;240;"15#7001776#65937#7_120"
2021-07-12 19:39:41.000;Аптека 4;"2000200179283";22;12;441;441;"15#7001776#65937#7_121"
2021-07-12 19:44:47.000;Аптека 7;"7a94000b-24e8-43f5-afc8-ee2b414857a2";17;0;579;579;"15#11006888#65937#11_175"
2021-07-12 19:55:09.000;Аптека 7;f0a8fa57-1abc-4487-a6e7-7eb242a5d426;0;23;73;73;"15#11006888#65937#11_179"
2021-07-12 20:06:52.000;Аптека 10;"2000200174073";45;85;1511;1511;"15#17001976#65937#17_77"
2021-07-12 20:15:30.000;Аптека 2;"2000200185239";5;0;198;198;"15#2002724#65937#2_100"
2021-07-12 20:19:56.000;Аптека 2;"2000200150619";10;0;1020;1020;"15#2002724#65937#2_102"
2021-07-12 20:33:11.000;Аптека 2;"6262681d-8b40-47e8-b59b-e6cfdbcf6049";40;0;2076;2076;"15#2002724#65937#2_105"
2021-07-12 20:38:46.000;Аптека 2;ab245924-5c5c-4230-8ac6-f7ac32cbc6f8;13;39;460;460;"15#2002724#65937#2_107"
2021-07-12 20:55:52.000;Аптека 8;"5a582958-bfae-4dfa-b290-a52512fabb6e";5;0;168;168;"15#15001706#65937#15_93"
2021-07-13 09:05:34.000;Аптека 2;"2000200206354";78;0;961;961;"15#2002740#65938#2_3"
2021-07-13 09:17:50.000;Аптека 2;"2000200176510";0;5;76;76;"15#2002740#65938#2_7"
2021-07-13 09:34:55.000;Аптека 2;"976c6590-8485-4185-989f-db3b2e7ecc39";10;7;600;600;"15#2002740#65938#2_9"
2021-07-13 09:52:36.000;Аптека 1;"2000200158363";57;0;765;765;"15#13002282#65938#13_11"
2021-07-13 10:06:42.000;Аптека 2;"2000200206651";21;7;1407;1407;"15#2002741#65938#2_1"
2021-07-13 10:14:46.000;Аптека 2;"2000200206651";4;9;209;209;"15#2002741#65938#2_3"
2021-07-13 10:28:06.000;Аптека 10;"2000200170860";2;0;299;299;"15#17002010#65938#17_8"
2021-07-13 10:30:10.000;Аптека 10;"2000200186205";8;0;285;285;"15#17002010#65938#17_10"
2021-07-13 10:32:13.000;Аптека 10;"2000200170600";12;0;412;412;"15#17002010#65938#17_11"
2021-07-13 10:37:36.000;Аптека 10;"2000200177203";5;0;208;208;"15#17002010#65938#17_13"
2021-07-13 10:51:22.000;Аптека 10;a9c35033-afd7-4c87-bd9e-8f2daaedb8a0;53;0;105;105;"15#17002010#65938#17_14"
2021-07-13 10:55:07.000;Аптека 7;adf7f4a9-89cb-4df1-9afb-3e96428979a7;18;96;631;631;"15#11006955#65938#11_28"
2021-07-13 10:57:23.000;Аптека 2;"3bafd866-4092-43d4-ba5b-bd8e16a305a5";20;0;693;693;"15#2002740#65938#2_29"
2021-07-13 11:37:09.000;Аптека 2;"2000200177760";14;93;474;474;"15#2002740#65938#2_34"
2021-07-13 11:39:20.000;Аптека 10;"2000200195436";37;0;1741;1741;"15#17002010#65938#17_19"
2021-07-13 11:44:53.000;Аптека 1;e08062a9-3db1-46c1-964d-edf8d67cfa03;22;0;561;561;"15#13002282#65938#13_28"
2021-07-13 11:53:45.000;Аптека 1;"189fd538-d071-4c6f-bc4e-dde519aa3ffd";7;0;234;234;"15#13002299#65938#13_16"
2021-07-14 14:27:59.000;Аптека 10;"2000200204541";21;0;881;838;"15#17002025#65939#17_30"
2021-07-13 12:09:00.000;Аптека 1;"8adeb2a5-28f6-4dcf-b05e-2f30765b83fb";7;0;262;262;"15#13002282#65938#13_32"
2021-07-13 12:24:25.000;Аптека 6;"2000200154440";1;0;60;60;"15#10002381#65938#10_9"
2021-07-13 12:26:16.000;Аптека 7;a7251984-b435-4333-bf64-6779c9f6f94e;35;184;1395;1395;"15#11006955#65938#11_55"
2021-07-13 12:28:33.000;Аптека 7;"2000200161325";9;31;781;781;"15#11006955#65938#11_56"
2021-07-13 12:41:03.000;Аптека 10;"2000200197867";1;0;184;184;"15#17002010#65938#17_26"
2021-07-13 12:43:37.000;Аптека 10;"4146ed1e-a5d1-479f-8c34-b4e59a3df886";16;0;667;667;"15#17002010#65938#17_27"
2021-07-13 12:49:26.000;Аптека 1;"7f4abaeb-dd08-45be-9a2d-473cbfd16e27";9;3;403;403;"15#13002282#65938#13_38"
2021-07-13 13:16:28.000;Аптека 2;eee39abe-67ab-485c-87f4-a671ca1f467d;1;36;166;166;"15#2002740#65938#2_50"
2021-07-13 13:20:50.000;Аптека 7;"0ccd8e29-58cf-47fb-abd4-50e52566cedc";19;0;663;663;"15#11006955#65938#11_67"
2021-07-13 13:29:23.000;Аптека 2;"2000200160410";3;0;138;138;"15#2002741#65938#2_34"
2021-07-13 13:34:38.000;Аптека 2;"2000200207931";152;0;3201;3201;"15#2002740#65938#2_52"
2021-07-13 13:48:59.000;Аптека 10;"2000200204541";37;0;1018;1018;"15#17002010#65938#17_31"
2021-07-13 13:59:45.000;Аптека 4;"173db2eb-d8e5-4502-ac10-5a4f7994178a";1;0;55;55;"15#7001787#65938#7_32"
2021-07-13 14:03:13.000;Аптека 10;"2000200204886";8;0;577;577;"15#17002010#65938#17_34"
2021-07-13 14:07:32.000;Аптека 6;"7542e1c6-60fe-4b30-a3ee-843d277d7c9b";1;16;116;116;"15#10002381#65938#10_20"
2021-07-13 14:15:10.000;Аптека 7;"2000200173328";126;0;3844;3805;"15#11006955#65938#11_81"
2021-07-13 14:21:38.000;Аптека 1;"542b6886-6364-4281-8d82-d011f44db6c5";5;0;559;559;"15#13002282#65938#13_42"
2021-07-13 14:28:06.000;Аптека 2;"2000200180388";59;72;2188;2188;"15#2002740#65938#2_60"
2021-07-13 14:33:24.000;Аптека 2;"2000200206835";80;0;1278;1278;"15#2002740#65938#2_61"
2021-07-13 14:39:37.000;Аптека 2;"2000200186991";6;0;627;627;"15#2002741#65938#2_43"
2021-07-13 14:41:17.000;Аптека 4;"45a8402a-09b7-4e48-817d-163798b24d30";5;0;238;238;"15#7001787#65938#7_41"
2021-07-13 15:40:37.000;Аптека 1;"83b45e3a-0525-4b73-af99-855318d11b09";13;0;1374;1374;"15#13002282#65938#13_50"
2021-07-13 15:49:57.000;Аптека 7;"39655753-6d65-47c7-8cbc-8ad4de86c3ac";8;0;666;666;"15#11006955#65938#11_101"
2021-07-13 15:56:45.000;Аптека 4;"2000200175773";10;100;456;456;"15#7001787#65938#7_50"
2021-07-13 16:09:39.000;Аптека 10;"2000200170280";10;143;519;519;"15#17002010#65938#17_43"
2021-07-13 16:27:12.000;Аптека 7;b0464cbe-8489-49e8-9801-1bd0fa881805;33;119;1124;1124;"15#11006955#65938#11_108"
2021-07-13 16:28:25.000;Аптека 2;"73d78adc-46f8-4512-a999-a12cec6bd23e";65;65;2193;2193;"15#2002741#65938#2_56"
2021-07-13 16:41:24.000;Аптека 7;"3ed3ac7b-8ebe-4065-a9d9-c6c85fbba0e4";11;0;238;238;"15#11006955#65938#11_110"
